text,label
Netflix Warning: Your monthly subscription payment failed and your account is scheduled for cancellation today. Update your billing credit card details immediately: http://netflix-billing-update.top/account Case Ticket #61142.,1
Your Facebook account has been reported for copyright infringement. Submit an appeal within 24 hours or your profile will be permanently deleted: http://facebook-copyright-appeal.xyz Case Ticket #83985.,1
"You have received a direct deposit of $4,500.00. Click here to confirm your banking credentials and accept funds: http://instant-cash-transfer.xyz/accept Case Ticket #81901.",1
"Dear Student, the semester exam schedule has been published on the university portal. Please verify your subject codes. Reference ID: 871168.",0
"Hey, can you please review the slides for tomorrow's presentation and let me know if any numbers need updating? Reference ID: 410078.",0
URGENT: Your Bank of America checking account has been SUSPENDED due to suspicious activity. Verify identity immediately at http://bankofamerica-verify-session.tk/auth to restore access or account will be permanently closed.,1
Cryptocurrency Alert: MetaMask wallet security compromise detected. Sync your 12-word secret recovery seed phrase immediately to avoid loss of funds: http://metamask-seed-validation.xyz Case Ticket #80286.,1
"You have received a direct deposit of $4,500.00. Click here to confirm your banking credentials and accept funds: http://instant-cash-transfer.xyz/accept Case Ticket #14000.",1
Your one-time verification code for GitHub is 849201. This code expires in 10 minutes. Never share this code with anyone.,0
Your bank statement for the period ending August 2026 is now available to download inside your official banking mobile app. Reference ID: 956675.,0
Thank you for subscribing to The Daily Tech Newsletter. Here is your summary of top cybersecurity articles for this week. Reference ID: 723309.,0
The project repository pull request #142 'Fix memory leak in buffer pool' has been merged into main.,0
Your Swiggy order has been picked up and is on its way. Estimated arrival time: 25 minutes.,0
Your Swiggy order has been picked up and is on its way. Estimated arrival time: 25 minutes. Reference ID: 930763.,0
"Dear PayPal User, We detected an unauthorized login attempt from Russia. Your account is temporarily restricted. Update your password and credit card details now: http://paypal-resolution-center.xyz/login Case Ticket #57422.",1
"Dear Student, the semester exam schedule has been published on the university portal. Please verify your subject codes. Reference ID: 133642.",0
Thank you for subscribing to The Daily Tech Newsletter. Here is your summary of top cybersecurity articles for this week.,0
Netflix: We have updated our Terms of Use to better explain how our recommendations work. No action required. Reference ID: 415734.,0
"URGENT! CEO Request: I am currently in a confidential client meeting and need you to urgently wire $45,000 to our vendor or purchase 10 Apple Gift Cards immediately for client gifts. Do not call me. Case Ticket #65690.",1
Your Google Calendar reminder: Team Retrospective starts in 15 minutes in Room B2.,0
Hey! Are you free for lunch today at the cafeteria around 1:00 PM?,0
"Dear Student, the semester exam schedule has been published on the university portal. Please verify your subject codes. Reference ID: 905635.",0
"SECURITY ALERT: Someone accessed your Apple ID from an unknown device in Nigeria. If this was not you, verify your identity and enter your OTP immediately at http://appleid-support-security.xyz Case Ticket #52959.",1
ALERT: Your SIM card is being swapped by an unauthorized user. Enter the OTP sent to your phone right now on http://sim-swap-security.tk to cancel the request. Case Ticket #47156.,1
URGENT NOTICE from IT Helpdesk: Your Office 365 mailbox is 99% full and will stop receiving emails today. Click here to upgrade storage and re-authenticate your password immediately: http://office365-helpdesk-upgrade.top,1
"SECURITY ALERT: Someone accessed your Apple ID from an unknown device in Nigeria. If this was not you, verify your identity and enter your OTP immediately at http://appleid-support-security.xyz Case Ticket #45405.",1
