text,label
WINNER!! You have won a £1000 prize. Call 09061701461 to claim.,spam
Free entry in 2 a weekly comp to win FA Cup final tickets!,spam
You have been selected for a cash prize of $500. Reply WIN now.,spam
URGENT! Your mobile number has won £2000 bonus. Call to claim!,spam
Congratulations! You've been chosen. Click http://bit.ly/win99 now!,spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11",spam
"IMPORTANT - You could be entitled to up to £3,160 in compensation!",spam
Hi! Free msg. Reply STOP to cancel.,spam
Your FREE ringtone is waiting. Call 09090900040 to claim.,spam
"Loan for £500 - £75,000. 60 seconds decision! www.speedcredit.co.uk",spam
Click here to win a free iPhone! Limited time offer. Act now!,spam
"You are pre-approved for a $10,000 credit card. Apply now!",spam
Earn $500/day from home. No experience needed. Click here!,spam
Your account will be suspended. Verify at http://bank-secure.phish.com,spam
FINAL NOTICE: You owe money. Pay now or face legal action!,spam
Hot singles in your area! Click to meet them now.,spam
Lose 30 lbs in 30 days! Buy our miracle weight loss pill today!,spam
Win a brand new car! Take our survey at surveywin.fake.com,spam
Your PayPal account has been limited. Login: http://paypal.fake.net,spam
FREE vacation to Bahamas! You've been selected. Call 1-800-SCAM-NOW,spam
"Buy cheap meds online! Viagra, Cialis no prescription needed.",spam
Claim your inheritance from a Nigerian prince. Reply for details.,spam
Investment opportunity! 500% returns guaranteed. Don't miss out!,spam
You owe $1200 in unpaid taxes. Arrest warrant issued. Call IRS now!,spam
Your computer has a virus! Call tech support 1-800-555-0199 immediately!,spam
"Dear SBI user, your YONO account will be blocked today. Update PAN immediately at http://sbi-pan-kyc.xyz",spam
Electricity power will be disconnected tonight at 9:30 PM from power office because your previous month bill was not updated. Call electricity officer at 9876543210,spam
"Dear customer, your SIM card will be blocked within 24 hours. Call customer care 8920192831 for KYC update",spam
"Congratulations! You won Rs 25,00,000 in KBC lottery. WhatsApp your details to 9123456780 to claim prize",spam
Part time job offer: Earn 3000 to 8000 daily by liking YouTube videos. Contact on Telegram @scamjob,spam
"Dear customer, your credit card reward points worth Rs 9850 are expiring today. Redeem cash now: http://reward-redeem-bank.top",spam
Work from home and earn 50000 per month without investment. Click http://easy-money-fast.online,spam
Instant personal loan approved up to 5 Lakhs with zero interest and no CIBIL check. Download app: http://instant-loan-apk.ru,spam
"Hey, are you coming to the meeting tomorrow?",ham
Mum says dinner is ready at 7pm. See you then!,ham
Can you pick up some milk on your way home?,ham
Don't forget we have a dentist appointment at 3pm.,ham
Happy birthday! Hope you have a great day!,ham
I'll be late by 10 minutes. Traffic is bad.,ham
"Thanks for the help earlier, really appreciated!",ham
Are you free this weekend? Thinking of going hiking.,ham
Meeting has been moved to 2pm on Thursday.,ham
Just finished the report. I'll send it over shortly.,ham
Can we reschedule our call to tomorrow morning?,ham
"Loved the restaurant last night, the pasta was amazing!",ham
Package delivered to your front door at 2:45pm.,ham
Please find the attached invoice for your review.,ham
The project deadline is next Friday. Let me know if you need help.,ham
I'm heading to the gym after work. Want to join?,ham
Flight confirmed for next Monday. Gates close at 6am.,ham
Just checking in to see how you're doing.,ham
The kids are at school. I'll pick them up at 4.,ham
Your appointment is confirmed for tomorrow at 10am.,ham
Please call me when you get a chance.,ham
I sent you the file via email. Check your inbox.,ham
Great work on the presentation today!,ham
Lunch at 1pm? There's a new sushi place nearby.,ham
Can you review my code before I push it?,ham
"Dear Customer, PNR 8152598955; PA Insurance Certificate/s mailed; Premium Rs. 1.35. For policy & to update nominee visit https://ui1.in/UIICHO/K9BWKJ -Team United India",ham
"PNR: 2451928374, TRAIN: 12952, DATE: 15-Oct, 3A, COACH: B2, BERTH: 45, STATUS: CNF. Have a pleasant journey - IRCTC",ham
"Your ticket for PNR 4521098234 has been booked successfully. Total fare Rs. 1,450.00. Charting status will be updated 4 hours before departure - IRCTC",ham
"Dear Customer, your vehicle insurance policy for DL01AB1234 is issued. Download policy schedule at https://uiic.in/portal - United India Insurance",ham
"Dear Customer, life insurance policy 098765432 has been renewed. Premium of Rs. 4,500 received with thanks. - LIC of India",ham
"Dear Customer, Rs. 1,250.00 debited from A/c XX4092 on 12-Sep-26 via UPI Ref 623910293849. Avl Bal Rs. 34,210.00 - HDFC Bank",ham
"Your a/c no. XXXX1234 is credited by Rs 25,000.00 on 01-Sep-26 by salary transfer. Balance: Rs 52,100.00 - SBI",ham
OTP for transaction of INR 450.00 at Amazon using ICICI Card XX9012 is 849201. Valid for 5 mins. Do not share OTP with anyone.,ham
948201 is your one time password (OTP) for login to your account. OTP is valid for 10 minutes. Do not disclose to anyone - Google,ham
Your OTP for registration on DigiLocker is 392019. Valid for 10 mins. Unique Identification Authority of India (UIDAI),ham
Your order with Amazon order ID 402-9182736-1928301 has been dispatched. Track delivery at https://amazon.in/orders - Amazon,ham
Out for delivery: Your Flipkart package FMPP0192837 is out for delivery today by agent Rahul. Share PIN 4820 on delivery.,ham
"Dear Customer, your electricity bill of Rs. 890 for CA No. 100293849 is due on 20-Sep-2026. Pay online to avoid late charges. - BSES",ham
"Recharge of Rs 299 successful for Jio Number 9876543210. Benefits: 1.5GB/day, Unlimited calls, 28 days validity. - Jio",ham
Your Uber trip receipt: Rs. 185.00 paid via Uber Cash. Thank you for riding with Uber.,ham
Appointment reminder: Dr. Sharma at Apollo Clinic tomorrow at 11:30 AM. Reply CANCEL to reschedule.,ham
