text,label
"Congratulations! Your email was selected to receive $1,000,000. Click here.",spam
"Dear Friend, I am a Nigerian prince with $45 million to transfer. I need your help.",spam
URGENT: Your bank account will be closed. Verify immediately at www.fakebank.com,spam
"You have won the international lottery! Claim your prize of $500,000 now.",spam
"Buy cheap Viagra, Cialis online! No prescription required!",spam
Earn $5000 per week working from home! No experience required!,spam
Your PayPal account has suspicious activity. Login to verify: paypal-secure.phish.ru,spam
FREE iPhone 15 Pro! Just complete our short survey and pay shipping.,spam
FINAL WARNING: Your account will be suspended in 24 hours. Click here!,spam
Lose weight fast! Our miracle pill burns 30lbs in 30 days guaranteed!,spam
Make money fast! Guaranteed returns of 1000% in crypto investing!,spam
"You have been pre-approved for a $50,000 loan. No credit check!",spam
Exclusive offer: Designer handbags at 90% off! Limited time only.,spam
Your computer is infected with viruses! Download our free scanner NOW.,spam
Meet hot singles in your area tonight! Click here to see their photos.,spam
IRS Notice: You have unpaid taxes. Immediate action required or arrest.,spam
"Claim your inheritance of $8,500,000 from a deceased relative.",spam
WINNER: You are today's lucky visitor. Click to claim your prize!,spam
Get rich quick with our secret trading system. 500% profit guaranteed!,spam
Alert: Someone logged into your Amazon account. Verify at: amaz0n.xyz,spam
"Hi John, here are the meeting notes from this morning's standup.",ham
Please find attached the Q3 financial report for your review.,ham
Can we schedule a call this week to discuss the project timeline?,ham
Your subscription renewal is coming up on October 1st.,ham
Thank you for your order! Your tracking number is 1Z999AA1012345678.,ham
The server maintenance window is scheduled for Saturday 2-4am UTC.,ham
Happy to confirm your interview for Tuesday at 10am.,ham
Please review the attached contract and let me know if you have questions.,ham
Your monthly statement is now available in your online banking portal.,ham
Reminder: Team lunch is Friday at noon. RSVP by tomorrow.,ham
The PR has been merged. Great work on the feature implementation!,ham
I wanted to follow up on our conversation from last week.,ham
Your flight EK204 departs at 08:35. Please arrive 2 hours early.,ham
Welcome to the team! Your first day is Monday. Looking forward to it.,ham
The API documentation has been updated. Please review the changes.,ham
"Subject: Update: Winter 2025 Examination Forms

Dear Student,

The Cybervidya Portal is now officially open for the submission of the Winter 2025 retest theory examination forms. Please log in to your student dashboard to review the submission steps. Ensure all required credit fees are submitted by the final deadline this Friday to avoid late penalties.

If you encounter any issues with the portal, please contact the IT administration desk.

Regards,
Examination Board",ham
"Dear Student, your semester grade report for Fall 2024 has been published. Please check the university portal to view your grades and credits. Contact the registrar office for any grade disputes.",ham
Notice to All Students: The library will remain open until 10 PM during exam week. Study rooms can be reserved online via the campus intranet.,ham
"Dear Candidate, your admit card for the upcoming entrance examination is now available for download. Please bring a printed copy and valid photo ID to the examination hall.",ham
Reminder: Course registration for the upcoming Spring semester begins tomorrow at 9 AM. Please review your degree audit before selecting electives.,ham
"Dear Student, the deadline to submit your project thesis synopsis to your department supervisor is next Monday. Late submissions will not be evaluated.",ham
All Staff: Open enrollment for health insurance benefits starts next week. Please attend the HR briefing session on Wednesday.,ham
"Hello Team, please remember to submit your monthly timesheets and expense reports by the 25th of this month for payroll processing.",ham
Notice: Building maintenance will be conducted on Saturday between 9 AM and 1 PM. Elevators will be temporarily out of service.,ham
"Dear Customer, your service request SR-90219 has been resolved by our support team. Please reply if you require further assistance.",ham
Your appointment with Dr. Mehta has been scheduled for Thursday at 4:30 PM. Please arrive 15 minutes early with your medical records.,ham
